Beer,Type,ABV,Manufacturers,Food,Taste,Price,Volume,Untappd_rating
Newcastle,Brown Ale,"4,7",John Smith's,"Pork, Lamb, Beef","Crispy taste with hints of orange, dried fruit and syrup loaf","16,9kr",330ml,"3,4/5"
Leffe,Belgian Blonde,"6,6",Abbaye de Leffe,"Pork, Cheese, Vegetable ","Fruity, spicy taste with sweetness, hints of apricot, banana, herbs and honey.","20,9kr",330ml,"3,59/5"
Nebuchadnezzar,IPA,"8,5",Omnipollo,"Pork, Lamb, Beef","Nuanced, hop-aromatic taste with noticeable bitterness, hints of grapefruit, syrup, herbs and orange.",30kr,330ml,"3,93/5"
Apocalyptic Thunder Juice,IPA,"6,5",Amundsen Brewery,"Pork, Bird, Vegetable","Fruity, slightly hop-aromatic taste with clear bitterness, hints of pineapple, fresh herbs, nectarine and citrus peel.","25,9kr",330ml,"3,78/5"
Punk IPA,IPA,"5,6",Brewdog,"Lamb, Beef","Hop-aromatic taste with clear bitterness, hints of apricot, orange marmalade, light bread, pine needles and grapefruit.","19,9kr",330ml,"3,75/5"
Pale Ale,APA,"5,6",Sierra Nevada,"Pork, Bird, Vegetable","Fruity taste with clear bitterness, hints of apricot jam, honey, herbs, light bread and orange.","23,9kr",330ml,"3,62/5"
Clockwork,Session IPA,"4,5",Brewdog,"Pork, Vegetable","Very fruity taste with clear bitterness, hints of mandarin, mango, herbs and orange peel.","16,9kr",330ml,"3,47/5"
Levon,Pale Ale - Belgian,"6,5",Omnipollo,"Pork, Bird, Vegetable","Nuanced, hop-aromatic taste with hints of orange, passion fruit, apricot, grapefruit, honey and herbs","59,9kr",750ml,"3,66/5"
West Coast IPA,IPA,"6,5",Stigbergets Bryggeri,"Pork, Lamb, Beef","Hop aromatic, fruity taste with clear bitterness, hints of pineapple, passion fruit, honey, orange, mango and pine needles.","32,9kr",330ml,"3,82/5"
Session IPA,Session IPA,"4,2",Innis & Gunn,"Pork, Vegetable","Fruity, slightly hop-aromatic taste with clear bitterness and slight sweetness, hints of lemon, honey, light bread and pineapple.","14,9kr",330ml,"3,22/5"
Pango IPA,IPA,"5,9",BrewSki,"Lamb, Beef","Nuanced, hop-aromatic taste with clear bitterness, hints of pineapple, passion fruit, mango, pine needles and grapefruit.","32,9kr",330ml,"3,57/5"
Sculpin IPA,IPA,7,Ballast Point,"Pork, Lamb, Beef","Hop aromatic taste with clear bitterness, hints of tropical fruit, ambrosia cake, pine resin and grapefruit peel.","26,9kr",330ml,"3,97/5"
New & Improved GBG,IPA,"6,5",Stigbergets Bryggeri,"Lamb, Beef","Hop aromatic taste with clear bitterness and slight sweetness, hints of pineapple, sponge cake, pine needles, passion fruit and grapefruit.","43,9kr",440ml,"3,95/5"
K:rlek,APA,"4,7",Mikkeller,"Pork, Bird","Hop-aromatic taste with clear bitterness, hints of passion fruit, sponge cake, pineapple, pine needles and citrus peel.","29,9kr",330ml,"3,66/5"
Fermenterarna IPA,IPA,"6,7",Fermenterarna,"Lamb, Beef","Fruity taste with clear bitterness and a little sweetness, hints of mango, pine needles, honey, ambrosia cake, passion fruit and pineapple.","43,9kr",440ml,"3,85/5"
Gamma Ray,APA,"5,4",Beavertown,"Pork, Lamb","Fruity, hop-aromatic taste with clear bitterness, hints of nectarine, pine needles, pineapple, sponge cake, apricot and orange.","29,9kr",330ml,"3,78/5"
Zodika,IPA,"6,2",Omnipollo,"Pork, Bird, Fish","Hop-aromatic, fruity aroma with clear bitterness, hints of grapefruit peel, light bread, pineapple, spices and citrus.",27kr,330ml,"3,78/5"
Passion Pale Ale,APA,"5,2",Poppels Bryggeri,"Pork, Bird, Vegetable","Fruity taste with hints of passion fruit, mango, pineapple, honey and herbs.","24,9kr",330ml,"3,55/5"
A Ship Full of IPA,IPA,"5,8",Brutal Brewing,"Pork, Lamb, Beef","Nuanced, slightly hop-aromatic taste with clear bitterness, with hints of apricot jam, syrup loaf, orange peel and honey.","16,9kr",330ml,"3,42/5"
IPA,IPA,"6,2",Lagunitas,"Pork, Lamb, Beef","Nuanced, clear hop-aromatic taste with clear bitterness, hints of syrup loaf, grapefruit and herbs.","23,9kr",330ml,"3,73/5"
Radio The Mothership,IPA - Imperial/Dubbel,"8,5",Collective Arts Brewing,"Pork, Lamb, Beef","Nuanced, hop-aromatic taste with clear bitterness and a little sweetness, hints of mango, passion fruit, pine resin, dried pineapple and grapefruit.","29,9kr",330ml,"3,75/5"
Guayabera,APA,"5,5",Cigar City,"Pork, Lamb","Hop aromatic taste with hints of pineapple, passion fruit, crispbread and orange blossoms.","23,9kr",355ml,"3,73/5"
DIPA,DIPA,8,Poppels Bryggeri,"Lamb, Beef","Hop aromatic taste with clear bitterness, hints of grapefruit, passion fruit, mango, honey and pine needles.","29,9kr",330ml,"3,77/5"
Go to India Pale Ale,Session IPA,"4,7",Stone Brewing,"Pork, Beed, Vegetable","Hop-aromatic taste with noticeable bitterness, hints of pineapple, passion fruit, light bread, pine needles and grapefruit peel.","15,9kr",355ml,"3,69/5"
Delicious IPA,IPA,"7,7",Stone Brewing,"Lamb, Beef","Fruity, hop-aromatic taste with clear bitterness, hints of pineapple, orange peel, nectarine, light bread, passion fruit and lemon balm.","24,9",355ml,"3,75/5"
Daytime IPA,IPA,4,Lagunitas,"Pork, Vegetable","Fruity taste with clear bitterness, hints of pineapple, honey, fresh herbs and grapefruit.","16,9kr",355ml,"3,57/5"
Fatamorgana,IPA - Imperial/Dubbel,8,Omnipollo,"Pork, Lamb, Bird","Very fruity, hop-aromatic taste with clear bitterness, hints of grapefruit, pineapple, mango, coriander seeds and honey.","36,9kr",330ml,4/5
A Moment of Clarity,Session IPA,"4,7",Beerbliotek,"Lamb, Vegetable","Hop aromatic, nuanced taste with clear bitterness, hints of passion fruit, grilled pineapple, grapefruit, spruce shoots and lemon.","24,9kr",330ml,"3,63/5"
Indian Tribute,IPA,"6,6",Oppigårds Bryggeri,"Pork, Lamb, Fish","Nuanced, fruity, hop-aromatic taste with clear bitterness and sweetness, hints of apricot, coriander, crisp and orange peel.",24kr,330ml,"3,57/5"
Maximus,IPA - Imperial/Dubbel,9,Lagunitas,"Lamb, Beef","Nuanced, fruity taste with clear bitterness, hints of orange marmalade, passion fruit, honey, pine needles and grapefruit.","27,9kr",355ml,"3,89/5"
Det är så här nu!,IPA - Imperial/Dubbel,8,Brewski,"Lamb, Beef","Hop aromatic, fruity taste with clear bitterness, hints of grapefruit, pine needles, peach, honey and pineapple.","39,9kr",330ml,"4,28/5"
"Peter, Pale and Mary Gluten Free",APA,"4,6",Mikkeller,"Pork, Bird, Vegetable","Fruity, slightly hop-aromatic taste with clear bitterness, hints of passion fruit, grapefruit, honey and fresh herbs.","26,9kr",330ml,"3,38/5"
Mistlur,IPA,"7,5",Stigbergets Bryggeri,"Pork, Lamb","Hop aromatic taste with clear bitterness and a little sweetness, hints of fresh herbs, pineapple, light bread, spices and citrus.","38,9kr",440ml,"4,03/5"
Duvel,Belgian Ale,"8,5",Duvel Moortgat,"Pork, Vegetable, Cheese","Fruity taste with hints of wheat bread, lemon, straw and honey.","27,9kr",330ml,"3,75/5"
Sitting Bulldog IPA,IPA,"6,4",Gotlands Bryggeri,"Pork, Lamb, Beef","Hop-aromatic taste with clear bitterness, hints of orange peel, honey, herbs and butter caramel.","22,6kr",330ml,"3,48/5"
New Dogtown Pale Ale,APA,"5,9",Lagunitas,"Pork, Bird, Vegetable","Nuanced, hop-aromatic taste with clear bitterness, hints of orange peel, honey, pine needles and rye bread.","21,9kr",355ml,"3,65/5"
Electric Nurse Pale Ale,APA,"4,6",Electric Nurse,"Pork, Vegetable","Hop aromatic taste with hints of pineapple, passion fruit, citrus and herbs.","23,5kr",330ml,"3,43/5"
Everyday IPA,Session IPA,"4,6",Oppigårds Bryggeri,"Pork, Vegetable","Hop aromatic taste with clear bitterness, hints of pine needles, tropical fruit, grapefruit and honey.",20kr,330ml,"3,46/5"
All the Way,Session IPA,"4,2",Dugges Bryggeri,"Pork, Bird, Beef","Fruity, hop-aromatic taste with clear bitterness, hints of grapefruit, pine needles, honey and pineapple.",25kr,330ml,"3,38/5"
The Leafcutter,IPA - New England,"6,8",North Brewing,"Pork, Lamb","Fruity taste with clear bitterness, hints of pineapple, sponge cake, rosemary, mango and grapefruit.","49,9kr",440ml,4/5
